replay,opponent,archetype
replays\bulk\episode-81372790-replay.json,Aji Samudra,lucario
replays\bulk\episode-81384059-replay.json,情理とこうせい,gardevoir
replays\bulk\episode-81505827-replay.json,Tanupro,other/unknown
replays\bulk\episode-81519810-replay.json,Tanupro,starmie
replays\bulk\episode-81543932-replay.json,shimacos,other/unknown
replays\bulk\episode-81577116-replay.json,nodel,alakazam
replays\bulk\episode-81579423-replay.json,Kevin Ramirez,dragapult
replays\bulk\episode-81586521-replay.json,satofi,other/unknown
replays\bulk\episode-81588587-replay.json,Syed Saad Hasan Emad,starmie
replays\bulk\episode-81647914-replay.json,harmo-miu,other/unknown
replays\bulk\episode-81649173-replay.json,Jason Anderson,other/unknown
replays\bulk\episode-81649888-replay.json,laddaL,dragapult
replays\bulk\episode-81650529-replay.json,YT,dragapult
replays\bulk\episode-81650999-replay.json,ningeeen,lucario
replays\bulk\episode-81651449-replay.json,ktm,dragapult
replays\bulk\episode-81651578-replay.json,arutoria,other/unknown
replays\bulk\episode-81652101-replay.json,Forager,alakazam
replays\bulk\episode-81652720-replay.json,nogu,other/unknown
replays\bulk\episode-81653208-replay.json,Rojiura Studio,abomasnow
replays\bulk\episode-81653696-replay.json,Hiroyasu123,other/unknown
replays\bulk\episode-81654318-replay.json,ikeyu,alakazam
replays\bulk\episode-81654946-replay.json,aosi123,other/unknown
replays\bulk\episode-81655583-replay.json,NiaAtSyzd,lucario
replays\bulk\episode-81655867-replay.json,Jason Anderson,alakazam
replays\bulk\episode-81656003-replay.json,xinpw8,abomasnow
replays\bulk\episode-81656470-replay.json,Libur_,starmie
replays\bulk\episode-81657015-replay.json,Kazuma Mori,dragapult
replays\bulk\episode-81657477-replay.json,Ultra7,other/unknown
replays\bulk\episode-81658124-replay.json,結束バンド,starmie
replays\bulk\episode-81658730-replay.json,Kasuga,lucario
replays\bulk\episode-81659219-replay.json,RLAP,other/unknown
replays\bulk\episode-81659858-replay.json,family hattori,bellibolt
replays\bulk\episode-81660217-replay.json,Jason Anderson,alakazam
replays\bulk\episode-81660334-replay.json,Daikon99,other/unknown
replays\bulk\episode-81660769-replay.json,Kazuyoshi SUZUKI,lucario
replays\bulk\episode-81661249-replay.json,MiTo Barchetta,lucario
replays\bulk\episode-81661721-replay.json,Jared Luboff,other/unknown
replays\bulk\episode-81661852-replay.json,yw8837,other/unknown
replays\bulk\episode-81662174-replay.json,kenta matsumoto,starmie
replays\bulk\episode-81662800-replay.json,Lucas Henrique Mateo,lucario
replays\bulk\episode-81663436-replay.json,graybackcat,dragapult
replays\bulk\episode-81663907-replay.json,Baker Jackson,dragapult
replays\bulk\episode-81664558-replay.json,KinpatsuPoke,other/unknown
replays\bulk\episode-81665517-replay.json,Apocalypse7,other/unknown
replays\bulk\episode-81665970-replay.json,Gaarv,abomasnow
replays\bulk\episode-81667570-replay.json,YOGESH M,abomasnow
replays\bulk\episode-81669359-replay.json,Jason Anderson,alakazam
replays\bulk\episode-81669808-replay.json,Jason Anderson,alakazam
replays\bulk\episode-81669905-replay.json,soba sobasoba,other/unknown
replays\bulk\episode-81669912-replay.json,yuki,other/unknown
replays\bulk\episode-81669917-replay.json,世界のたまちゃん,other/unknown
replays\bulk\episode-81670361-replay.json,tf,lucario
replays\bulk\episode-81670369-replay.json,daigakupotato,other/unknown
replays\bulk\episode-81670823-replay.json,Limo,crustle
replays\bulk\episode-81670832-replay.json,Fran Milla,alakazam
replays\bulk\episode-81671284-replay.json,Squirrel,starmie
replays\bulk\episode-81671296-replay.json,Myckel Uribe,starmie
replays\bulk\episode-81671910-replay.json,Edgar Silva R,lucario
replays\bulk\episode-81671914-replay.json,Yousef Turk,lucario
replays\bulk\episode-81672385-replay.json,Yuto Umehara,lucario
replays\bulk\episode-81672389-replay.json,zzz_nya,crustle
replays\bulk\episode-81672841-replay.json,Sanc Tuary,dragapult
replays\bulk\episode-81672853-replay.json,choku777,starmie
replays\bulk\episode-81673302-replay.json,hisa ito,abomasnow
replays\bulk\episode-81673309-replay.json,abidencewww,other/unknown
replays\bulk\episode-81673758-replay.json,kenn,starmie
replays\bulk\episode-81673760-replay.json,のはたく,abomasnow
replays\bulk\episode-81673824-replay.json,askamijo,alakazam
replays\bulk\episode-81674212-replay.json,Kazuta MIZUTA,lucario
replays\bulk\episode-81674242-replay.json,チーム魔剤,crustle
replays\bulk\episode-81674835-replay.json,cam3ronc,lucario
replays\bulk\episode-81674853-replay.json,heart_mugi,other/unknown
replays\bulk\episode-81675297-replay.json,Kasuga,lucario
replays\bulk\episode-81675313-replay.json,andmohiko,other/unknown
replays\bulk\episode-81675743-replay.json,cgaines,lucario
replays\bulk\episode-81675764-replay.json,EL,crustle
replays\bulk\episode-81676361-replay.json,Lucas Ween,abomasnow
replays\bulk\episode-81676383-replay.json,Kitaev,lucario
replays\bulk\episode-81676982-replay.json,daiki_pyonkichi,lucario
replays\bulk\episode-81679311-replay.json,Takusato,alakazam
replays\bulk\episode-81680628-replay.json,Du Dinh,lucario
replays\bulk\episode-81681211-replay.json,zhang et al.,starmie
replays\bulk\episode-81681757-replay.json,ninjya777,abomasnow
replays\bulk\episode-81684640-replay.json,Hiroyasu123,other/unknown
replays\bulk\episode-81686714-replay.json,Davide,other/unknown
replays\bulk\episode-81691366-replay.json,Nithin maktha,lucario
replays\bulk\episode-81694484-replay.json,kishingo,other/unknown
replays\bulk\episode-81699117-replay.json,BlueBuild4,lucario
replays\bulk\episode-81704768-replay.json,kazu107,abomasnow
replays\bulk\episode-81704773-replay.json,mogura2.0,starmie
replays\bulk\episode-81706869-replay.json,makosukepapa,starmie
replays\bulk\episode-81708526-replay.json,ぶれめか,other/unknown
replays\bulk\episode-81715276-replay.json,AGNT.gg,lucario
replays\bulk\episode-81722376-replay.json,Patrick M.,abomasnow
replays\bulk\episode-81725109-replay.json,Squirrel,starmie
replays\bulk\episode-81728491-replay.json,shimacos,dragapult
replays\bulk\episode-81737444-replay.json,Taimo,alakazam
replays\bulk\episode-81738851-replay.json,codebeforework,bellibolt
replays\bulk\episode-81756036-replay.json,Yuu K,dragapult
replays\bulk\episode-81772920-replay.json,ゆづいぶ,other/unknown
replays\bulk\episode-81774352-replay.json,orikage,dragapult
replays\bulk\episode-81775498-replay.json,RamaswamyBala,raging-bolt
replays\bulk\episode-81776441-replay.json,shige,lucario
replays\bulk\episode-81776474-replay.json,works.management,other/unknown
replays\bulk\episode-81780193-replay.json,Masaya_SAN,lucario
replays\bulk\episode-81793266-replay.json,Aditya Mishra,lucario
replays\bulk\episode-81803195-replay.json,岡村卓磨,other/unknown
replays\bulk\episode-81804019-replay.json,Jason Anderson,alakazam
replays\bulk\episode-81804563-replay.json,Made a Beautiful Bouquet,alakazam
replays\bulk\episode-81805183-replay.json,Nullx2,crustle
replays\bulk\episode-81805796-replay.json,Neko #2,lucario
replays\bulk\episode-81806267-replay.json,haru0707,crustle
replays\bulk\episode-81806882-replay.json,Tia_Stella,gardevoir
replays\bulk\episode-81807340-replay.json,coba11,alakazam
replays\bulk\episode-81807800-replay.json,Sugano Yuta,lucario
replays\bulk\episode-81808263-replay.json,makimakiver,dragapult
replays\bulk\episode-81808875-replay.json,SpeedSci,lucario
replays\bulk\episode-81809351-replay.json,RiJ,crustle
replays\bulk\episode-81809807-replay.json,Morim,lucario
replays\bulk\episode-81810264-replay.json,miruto,other/unknown
replays\bulk\episode-81810731-replay.json,Yotsuba_4848,other/unknown
replays\bulk\episode-81811333-replay.json,RairoRapha,crustle
replays\bulk\episode-81811951-replay.json,D.Minami802,other/unknown
replays\bulk\episode-81812367-replay.json,Jason Anderson,alakazam
replays\bulk\episode-81812565-replay.json,keito k4,crustle
replays\bulk\episode-81812919-replay.json,Roo333,starmie
replays\bulk\episode-81813017-replay.json,kaggle_bbgg,crustle
replays\bulk\episode-81813372-replay.json,kanadomekei,other/unknown
replays\bulk\episode-81813373-replay.json,tellurium_rrr,other/unknown
replays\bulk\episode-81813495-replay.json,Ryos8515,dragapult
replays\bulk\episode-81813838-replay.json,いせえび,dragapult
replays\bulk\episode-81814020-replay.json,yoshi2no,lucario
replays\bulk\episode-81814457-replay.json,Baidalin Adilzhan [dsml.kz],lucario
replays\bulk\episode-81814569-replay.json,Evan Liu,abomasnow
replays\bulk\episode-81814929-replay.json,makosukepapa,starmie
replays\bulk\episode-81815033-replay.json,win a real gold medal,lucario
replays\bulk\episode-81815549-replay.json,CatPurrgramming,crustle
replays\bulk\episode-81815653-replay.json,Bozo Boys,lucario
replays\bulk\episode-81816023-replay.json,STR-PAPA,other/unknown
replays\bulk\episode-81816107-replay.json,AGNT.gg,lucario
replays\bulk\episode-81816489-replay.json,ZEC Keita,abomasnow
replays\bulk\episode-81816952-replay.json,ktm,dragapult
replays\bulk\episode-81817562-replay.json,re_eee_ne,other/unknown
replays\bulk\episode-81818182-replay.json,s2terminal,other/unknown
replays\bulk\episode-81818751-replay.json,schezo,lucario
replays\bulk\episode-81819381-replay.json,Aslan168,crustle
replays\bulk\episode-81819859-replay.json,ruten,lucario
replays\bulk\episode-81820113-replay.json,Jason Anderson,alakazam
replays\bulk\episode-81820213-replay.json,Kazuki Shiraishi,other/unknown
replays\bulk\episode-81820331-replay.json,Super Mippo,lucario
replays\bulk\episode-81820686-replay.json,sakataxr,alakazam
replays\bulk\episode-81820803-replay.json,Ethan Yang,other/unknown
replays\bulk\episode-81820807-replay.json,nekokaeru,dragapult
replays\bulk\episode-81821305-replay.json,ttmn,lucario
replays\bulk\episode-81821419-replay.json,trail,starmie
replays\bulk\episode-81821761-replay.json,Teddy McBride,alakazam
replays\bulk\episode-81821876-replay.json,nakazu,alakazam
replays\bulk\episode-81822374-replay.json,shg195,other/unknown
replays\bulk\episode-81822486-replay.json,jwils4,crustle
replays\bulk\episode-81822996-replay.json,YU YAUCHI,starmie
replays\bulk\episode-81823097-replay.json,Daikon99,other/unknown
replays\bulk\episode-81823652-replay.json,Jagannath Athmaraman,lucario
replays\bulk\episode-81823717-replay.json,heren-27,lucario
replays\bulk\episode-81824213-replay.json,Gary,abomasnow
replays\bulk\episode-81824328-replay.json,naokichi4869,crustle
replays\bulk\episode-81824829-replay.json,リュミオーネTom,lucario
replays\bulk\episode-81825444-replay.json,Haekal D,other/unknown
replays\bulk\episode-81825895-replay.json,fufufufufuko,rockets-mewtwo
replays\bulk\episode-81825931-replay.json,arrow_utpoke,gardevoir
replays\bulk\episode-81826378-replay.json,tochiri,other/unknown
replays\bulk\episode-81826909-replay.json,Gosuke Watanabe,bellibolt
replays\bulk\episode-81827030-replay.json,いせえび,dragapult
replays\bulk\episode-81827455-replay.json,CyberGhost2077,crustle
replays\bulk\episode-81827916-replay.json,Kokoro0711,crustle
replays\bulk\episode-81828496-replay.json,Ricky Yuen,crustle
replays\bulk\episode-81829165-replay.json,Brian Altan,lucario
replays\bulk\episode-81829639-replay.json,Kaleidoooooo,dragapult
replays\bulk\episode-81830271-replay.json,hatata,alakazam
replays\bulk\episode-81830730-replay.json,Takutsu,other/unknown
replays\bulk\episode-81831346-replay.json,jannchie,starmie
replays\bulk\episode-81831964-replay.json,yuki,crustle
replays\bulk\episode-81832441-replay.json,"Yuka,Ota",alakazam
replays\bulk\episode-81833380-replay.json,HughTCG,other/unknown
replays\bulk\episode-81833817-replay.json,jiatu.l,other/unknown
replays\bulk\episode-81835059-replay.json,h_noson,starmie
replays\bulk\episode-81839513-replay.json,MD. Nazmus Sakib Anik,starmie
replays\bulk\episode-81850876-replay.json,airMac 778,alakazam
replays\bulk\episode-81859002-replay.json,Electoria,dragapult
replays\bulk\episode-81859523-replay.json,mhiro2,other/unknown
replays\bulk\episode-81867596-replay.json,noikaret,other/unknown
replays\bulk\episode-81879655-replay.json,SAKU,other/unknown
replays\bulk\episode-81886084-replay.json,Gappy,alakazam
replays\bulk\episode-81892159-replay.json,pensukesan,lucario
replays\bulk\episode-81893191-replay.json,fttp,starmie
replays\bulk\episode-81896405-replay.json,Roland Gerlinger,starmie
replays\bulk\episode-81896975-replay.json,nick gault,lucario
replays\bulk\episode-81898436-replay.json,LLLJ,starmie
replays\bulk\episode-81901849-replay.json,LeonArdoV.,lucario
replays\bulk\episode-81912752-replay.json,yuki matsumori,starmie
replays\bulk\episode-81913871-replay.json,PKMN Trainer L,other/unknown
replays\bulk\episode-81914440-replay.json,jp_nerdery,other/unknown
replays\bulk\episode-81918177-replay.json,Stef Limited,alakazam
replays\bulk\episode-81918215-replay.json,Sapiens Livre,abomasnow
replays\bulk\episode-81919438-replay.json,KojiKRSE,other/unknown
replays\bulk\episode-81923005-replay.json,TheDuck,starmie
replays\bulk\episode-81925190-replay.json,theredbluepill,starmie
replays\bulk\episode-81930052-replay.json,TheDigitalCK,other/unknown
replays\bulk\episode-81933815-replay.json,ひげだるま(inovie株式会社),crustle
replays\bulk\episode-81944852-replay.json,kokoa,starmie
replays\bulk\episode-81945931-replay.json,czechmix,alakazam
replays\bulk\episode-81947243-replay.json,JJ Bean,starmie
replays\bulk\episode-81967909-replay.json,iwatsushi,lucario
replays\bulk\episode-81968436-replay.json,szyulian,bellibolt
replays\bulk\episode-81968881-replay.json,yiyu0716,other/unknown
replays\bulk\episode-81976273-replay.json,Tom,crustle
replays\bulk\episode-81984870-replay.json,tyakku_k2k,other/unknown
replays\bulk\episode-81997098-replay.json,Quentin Gense,crustle
replays\bulk\episode-82003670-replay.json,terassyi,other/unknown
replays\bulk\episode-82007079-replay.json,Mayu Takagi,abomasnow
replays\bulk\episode-82018696-replay.json,Shunji Minode,other/unknown
replays\bulk\episode-82023698-replay.json,SKMAAX,starmie
replays\bulk\episode-82027849-replay.json,yiyu0716,crustle
replays\bulk\episode-82045189-replay.json,taka0808,other/unknown
replays\bulk\episode-82067317-replay.json,iwtn,starmie
replays\bulk\episode-82067397-replay.json,孤独のコーヒー,dragapult
replays\bulk\episode-82077507-replay.json,shintacs,lucario
replays\bulk\episode-82080373-replay.json,KellersInColorado,dragapult
replays\bulk\episode-82086508-replay.json,N,other/unknown
replays\bulk\episode-82108406-replay.json,Alberto Bonsanto,dragapult
replays\bulk\episode-82108417-replay.json,CourtB559,lucario
replays\bulk\episode-82116542-replay.json,YuyaSuzuki,starmie
replays\bulk\episode-82121185-replay.json,HAL TCG Dojo,lucario
replays\bulk\episode-82124563-replay.json,jp_nerdery,other/unknown
replays\bulk\episode-82139921-replay.json,bono,starmie
replays\bulk\episode-82147264-replay.json,ahawd,starmie
replays\bulk\episode-82150385-replay.json,yuhei,starmie
replays\bulk\episode-82151776-replay.json,kidekikish,starmie
replays\bulk\episode-82162489-replay.json,M Rislan Tristansyah,lucario
replays\bulk\episode-82169231-replay.json,Danielvo59,other/unknown
replays\bulk\episode-82174557-replay.json,kenn,dragapult
replays\bulk\episode-82183460-replay.json,mochikiichigo,starmie
replays\bulk\episode-82186516-replay.json,Ryu_san,alakazam
replays\bulk\episode-82202144-replay.json,JiMing Feng,other/unknown
replays\bulk\episode-82204958-replay.json,ryusei,other/unknown
replays\bulk\episode-82214097-replay.json,bacon4423,abomasnow
replays\bulk\episode-82217092-replay.json,aosi123,other/unknown
replays\bulk\episode-82224657-replay.json,MIRAI LAB,starmie
replays\bulk\episode-82225292-replay.json,PRMNC,other/unknown
replays\bulk\episode-82226277-replay.json,tenajima,dragapult
replays\bulk\episode-82232950-replay.json,Viturv Pathak,dragapult
replays\bulk\episode-82239614-replay.json,E_96tree,lucario
replays\bulk\episode-82243180-replay.json,rsuet61,other/unknown
replays\bulk\episode-82245333-replay.json,Tardigrades,other/unknown
replays\bulk\episode-82247496-replay.json,shoot0645,alakazam
replays\bulk\episode-82250421-replay.json,yuuuki1111,other/unknown
replays\bulk\episode-82250773-replay.json,OchiAI820,alakazam
replays\bulk\episode-82252028-replay.json,FcoUniverse,other/unknown
replays\bulk\episode-82253081-replay.json,yuu2704,starmie
replays\bulk\episode-82254155-replay.json,Topdecking is All You Need,other/unknown
replays\bulk\episode-82259381-replay.json,kiyu,dragapult
replays\bulk\episode-82269916-replay.json,DenisEdwards,other/unknown
replays\bulk\episode-82278778-replay.json,NomiBoo,starmie
replays\bulk\episode-82298161-replay.json,nekukoro,other/unknown
replays\bulk\episode-82309931-replay.json,Samuel Verneri Ojala,crustle
replays\bulk\episode-82322213-replay.json,Tresure,abomasnow
replays\bulk\episode-82327233-replay.json,MoongladeAI,starmie
replays\bulk\episode-82331354-replay.json,Yusuke Aoki002,other/unknown
replays\bulk\episode-82336881-replay.json,zumatin,other/unknown
replays\bulk\episode-82338984-replay.json,yuu2704,other/unknown
replays\bulk\episode-82340224-replay.json,kurikuri54,starmie
replays\bulk\episode-82340976-replay.json,qiancheng1999,other/unknown
replays\bulk\episode-82345250-replay.json,Masatoshi Taniguchi,starmie
replays\bulk\episode-82350931-replay.json,keiz,crustle
replays\bulk\episode-82360887-replay.json,warabiimu,dragapult
replays\bulk\episode-82363324-replay.json,Yan Enrique,archaludon
replays\bulk\episode-82374232-replay.json,Shinichi,lucario
replays\bulk\episode-82380209-replay.json,NomiBoo,archaludon
replays\bulk\episode-82384061-replay.json,sunako24d,dragapult
replays\bulk\episode-82386854-replay.json,yato higa,alakazam
replays\bulk\episode-82386957-replay.json,yshinok,other/unknown
replays\bulk\episode-82433419-replay.json,naokichi4869,crustle
replays\bulk\episode-82439352-replay.json,沢栗 ぺんた,dragapult
replays\bulk\episode-82448665-replay.json,テライFACC,other/unknown
replays\bulk\episode-82455704-replay.json,knomura1703,alakazam
replays\bulk\episode-82469679-replay.json,akzw,lucario
replays\bulk\episode-82475552-replay.json,MangaNow,other/unknown
replays\bulk\episode-82489835-replay.json,Wilson Mugabo,abomasnow
replays\bulk\episode-82504010-replay.json,Seasaw,other/unknown
